央视,#genre#
CCTV-1,rtsp://27.148.239.100:1554/iptv/import/Tvod/iptv/001/001/ch22120910414486061254.rsc/60882_Uni.sdp
CCTV-2,rtsp://27.148.239.103:1554/iptv/import/Tvod/iptv/001/001/ch17092208064869858322.rsc/33190_Uni.sdp
CCTV-3,rtsp://27.148.239.100:1554/iptv/import/Tvod/iptv/001/001/ch20122816275150505818.rsc/57570_Uni.sdp
CCTV-4,rtsp://27.148.239.100:1554/iptv/import/Tvod/iptv/001/001/ch17081011542536199690.rsc/47558_Uni.sdp
CCTV-5,rtsp://27.148.239.100:1554/iptv/import/Tvod/iptv/001/001/ch20122816284434600276.rsc/57609_Uni.sdp
CCTV-6,rtsp://27.148.239.100:1554/iptv/import/Tvod/iptv/001/001/ch20122816292260718026.rsc/57647_Uni.sdp
CCTV-7,rtsp://27.148.239.100:1554/iptv/import/Tvod/iptv/001/001/ch17092208080814677315.rsc/33191_Uni.sdp
CCTV-8,rtsp://27.148.239.100:1554/iptv/import/Tvod/iptv/001/001/ch20122816295372138106.rsc/57685_Uni.sdp
CCTV-9,rtsp://27.148.239.99:1554/iptv/import/Tvod/iptv/001/001/ch17092110534875474266.rsc/32848_Uni.sdp
CCTV-10,rtsp://27.148.239.100:1554/iptv/import/Tvod/iptv/001/001/ch17092208093413465804.rsc/53899_Uni.sdp
CCTV-11,rtsp://27.148.239.100:1554/iptv/import/Tvod/iptv/001/001/ch15102717162059665205.rsc/31031_Uni.sdp
CCTV-12,rtsp://27.148.239.105:1554/iptv/import/Tvod/iptv/001/001/ch17092208110147271148.rsc/33193_Uni.sdp
CCTV-13,rtsp://27.148.239.100:1554/iptv/import/Tvod/iptv/001/001/ch15102717162008550635.rsc/30988_Uni.sdp
CCTV-14,rtsp://27.148.239.103:1554/iptv/import/Tvod/iptv/001/001/ch17092208120898287250.rsc/54528_Uni.sdp
CCTV-15,rtsp://27.148.239.105:1554/iptv/import/Tvod/iptv/001/001/ch15102717162037072744.rsc/30916_Uni.sdp
